zip,lat,lng
00601,18.18,-66.7522
00602,18.3607,-67.1752
00603,18.4544,-67.122
00606,18.1672,-66.9383
00610,18.2903,-67.1224
00612,18.407,-66.708
00616,18.4175,-66.6681
00617,18.4412,-66.5592
00622,17.9917,-67.1525
00623,18.0835,-67.1542
00624,18.0646,-66.7182
00627,18.419,-66.8603
00631,18.1856,-66.8333
00637,18.0798,-66.9427
00638,18.289,-66.5151
00641,18.2641,-66.7138
00646,18.434,-66.2833
00647,17.9661,-66.9438
00650,18.3432,-66.586
00652,18.4554,-66.6063
00653,17.9857,-66.8903
00656,18.0528,-66.7918
00659,18.4107,-66.7965
00660,18.1342,-67.114
00662,18.4621,-67.0144
00664,18.2115,-66.5889
00667,18.0123,-67.0409
00669,18.271,-66.8698
00670,18.2378,-66.9887
00674,18.4212,-66.49
00676,18.3779,-67.0808
00677,18.3357,-67.2317
00678,18.4327,-66.9281
00680,18.1633,-67.362
00682,18.2211,-67.1538
00683,18.11,-67.0373
00685,18.3362,-66.9722
00687,18.3171,-66.4203
00688,18.3806,-66.6242
00690,18.4957,-67.0982
00692,18.4084,-66.3369
00693,18.4213,-66.4001
00694,18.4833,-66.3926
00698,18.0673,-66.8527
00703,18.2484,-66.1312
00704,17.9672,-66.2202
00705,18.1295,-66.2648
00707,18.0181,-65.922
00714,17.9985,-66.0561
00715,18.0117,-66.5599
00716,17.9994,-66.6001
00717,18.0034,-66.6132
00718,18.2333,-65.7611
00719,18.2888,-66.2534
00720,18.2177,-66.4282
00723,18.0324,-66.0123
00725,18.2185,-66.0428
00727,18.215,-66.0736
00728,18.0063,-66.6612
00729,18.3311,-65.8872
00730,18.0309,-66.6166
00731,18.0978,-66.6336
00735,18.2537,-65.6831
00736,18.1065,-66.1526
00738,18.3183,-65.6679
00739,18.1768,-66.1606
00740,18.3323,-65.6342
00741,18.1656,-65.7556
00745,18.3483,-65.8172
00751,18.0102,-66.2475
00754,18.1457,-65.9761
00757,17.9973,-66.3889
00765,18.1285,-65.4409
00766,18.133,-66.477
00767,18.0705,-65.8961
00769,18.097,-66.361
00771,18.1875,-65.8693
00772,18.4327,-65.9083
00773,18.3417,-65.7274
00775,18.3135,-65.2902
00777,18.2236,-65.9088
00778,18.2634,-65.9794
00780,18.1042,-66.5717
00782,18.2254,-66.2222
00783,18.3041,-66.3285
00784,18.0054,-66.1339
00786,18.1554,-66.2299
00791,18.1407,-65.818
00794,18.2015,-66.3087
00795,18.0593,-66.5018
00901,18.4653,-66.1048
00906,18.4645,-66.095
00907,18.4531,-66.0778
